texto|lugar|tipo_lugar
@cged_sos sin energía desde el medio día en mi sector Mostazal y en varias localidades cercanas, por favor repara|Mostazal|localidad
Caminoa pidió que se gestionen ante Nación motores del Ejército para atender localidades sin energía https://t.co/7u2l1FvJfZ||
¿Si se nubla compren velas? Las localidades de Santa Rosa y Pehuén en Lebu sin luz por caídas de árboles o ramas en… https://t.co/42Gph08YjZ|Santa Rosa y Pehuén|localidades
RT @CristianAbel: ¿Si se nubla compren velas? Las localidades de Santa Rosa y Pehuén en Lebu sin luz por caídas de árboles o ramas en el te…|Santa Rosa y Pehuén|localidades
Alcaldesa Lebu @CristianAbel ¿Si se nubla compren velas? localidades d Santa Rosa y Pehuén en Lebu sin luz por caíd… https://t.co/A0XulsJwKF|Santa Rosa y Pehuén|localidades
RT @ExtraChile: Alcaldesa Lebu @CristianAbel ¿Si se nubla compren velas? localidades d Santa Rosa y Pehuén en Lebu sin luz por caídas d árb…|Santa Rosa y Pehuén|localidades
@CGE_Energia En peñaflor , localidad de malloco, seguimos sin luz desde anoche|malloco|localidad
Desde las 11:30 Hrs la localidad de Amolanas está sin energía eléctrica. @emelat_sos @cged_sos #tierraamarilla|Amolanas|localidad
RT @EvaSofiaGaby: @CGE_Energia En peñaflor , localidad de malloco, seguimos sin luz desde anoche|malloco|localidad
Tirúa: vecinos de la localidad de Curaquidico reportan corte de energía eléctrica desde las 10 de la mañana. Han pa… https://t.co/mZsc5hbjly|Curaquidico|localidad
RT @ConectaTV2: Tirúa: vecinos de la localidad de Curaquidico reportan corte de energía eléctrica desde las 10 de la mañana. Han pasado más…|Curaquidico|localidad
RT @tierraamarilla1: Desde las 11:30 Hrs la localidad de Amolanas está sin energía eléctrica. @emelat_sos @cged_sos #tierraamarilla|Amolanas|localidad
@OficialEdesur localidad de glew, barrio parque roma, seis días sin LUZ!!! Barrio a oscuras!!! #GLEW #BuenDomingo https://t.co/u6fT3ZfC3K|glew|localidad
??Desde temprano que algunas localidades del valle de #Quilimari se encuentran sin energía eléctrica. Así nos indic… https://t.co/JEa7QJorcs|valle de #Quilimari|localidad
RT @radio_conexion: ??Desde temprano que algunas localidades del valle de #Quilimari se encuentran sin energía eléctrica. Así nos indican d…|valle de #Quilimari|localidad
@CFEmx Buenas noches,seguimos sin energía eléctrica en la localidad de ucu Yucatán ya se hizo el reporte (W01022640… https://t.co/yAy7yW6vAR|Yucatán|localidad
Efectos de Beryl dejan otra vez sin energía eléctrica localidades de Puerto Rico https://t.co/ZCWKCVPgCJ https://t.co/dHDTjigvac|Puerto Rico|localidad
@CFEmx ayuda! Llevamos 4 días sin luz y en las oficinas de mi localidad solo nos diacen que ellos no pueden hacer n… https://t.co/ajaxVrsPaH||
@CFE_Contigo Estamos sin luz en la localidad de San Antonio de las Huertas. Municipio de Tlapehuala. Guerrero. Cu… https://t.co/8Mw3aJnVqE|San Antonio|localidad
@CFE_Contigo Estamos sin luz en la localidad de San Antonio de las Huertas. Municipio de Tlapehuala. Guerrero. Cu… https://t.co/BE09WX2Srs|San Antonio|localidad
@CFE_Contigo Estamos sin luz en la localidad de San Antonio de las Huertas. Municipio de Tlapehuala. Guerrero. Cu… https://t.co/hQwRJF01WK|San Antonio|localidad
@CFEmx Estamos sin luz en la localidad de San Antonio de las Huertas. Municipio de Tlapehuala. Guerrero. Cuauhtém… https://t.co/gIIyHCzJfz|San Antonio|localidad
EPEC , Por robos de cables, se originó una falla de alta tensión: varias localidades sin luz https://t.co/tlEWFI9aTq||
Hasta cuado los choreos? Desde las 4am sin luz, 5 localidades por chorear los cales......||
Hasta cuando los choreos?? Desde las 4am sin luz 5 localidades porque se chorearon los cables!!!! Pagamos todos por… https://t.co/h9BnPtds0i||
@CORPOELECinfo Buenas tardes para informar que tenemos 3 días sin luz en la localidad de boquerón de amana víaa al… https://t.co/3k61dYiBGW|boquerón|localidad
Una sobrecarga de electricidad dejó sin luz a varias localidades de la región - Radiocanal - San Francisco Córdoba… https://t.co/voMp3CRCqM|San Francisco Córdoba|localidad
@OficialEdesur Edesur , como siempre un desastre , have 48 hs sin luz , cliente 04402315 , localidad de Ingeniero A… https://t.co/W23YDGoWby|Ingeniero|localidad
REGIONALES , Un apagón dejó 9 horas sin luz a varias localidades de la región Más info: https://t.co/pfIvw10iOZ… https://t.co/7QqUcVnW2g||
RT @RadioVillaMaria: REGIONALES , Un apagón dejó 9 horas sin luz a varias localidades de la región Más info: https://t.co/pfIvw10iOZ #reg…||
RT @hospitalpaine: @Gobernaciomaipo @cged_sos @lasandiadepaine El Porvenir y El Renacer de la localidad de Hospital en Paine, sin energía e…|Hospital|localidad
@CodensaEnergia Gracias el apagón fue en tres localidades y se restableció el servicio sobre las 5 y 25 a.m. duramos hora y cuarto sin ?||
@CodensaEnergia Gracias el apag?n fue en tres localidades y se restableci? el servicio sobre las 5 y 25 a.m. duramos hora y cuarto sin ?||
Interés General, Locales , Corte de energía programado en la localidad de Gobernador Castro Ha sido publicado en El… https://t.co/vJ8VcSaYAG|Gobernador Castro|localidad
Corte de energía programado en la localidad de Gobernador Castro , Interés General, Locales Ha sido publicado en E… https://t.co/leOy7qdSHv|Gobernador Castro|localidad
#Servicios Más de diez localidades quedaron sin luz por un desperfecto en la línea Roca-Oberá. La Capital del Mont… https://t.co/Zpr5ir2Lwg||
RT @primeraedicionw: #Servicios Más de diez localidades quedaron sin luz por un desperfecto en la línea Roca-Oberá. La Capital del Monte p…||
@ElectricaribeSA sin Luz desde hace 3 Horas en Caribe Verde, Ciudad Caribe, Vipa Verde Hemos llamado y No Contest… https://t.co/ilMlWXsvvB|Caribe Verde, Ciudad Caribe, Vipa Verde|barrios
@CorpoelecZulia_ @LMOTTAD que desgracia nos ha tocado a los zulianos, la ciudad mas caliente y con 4 horas sin luz,… https://t.co/RVCdma8pc3||
Tremendo #apagon en #Mendoza, toda Ciudad sin luz, #Edemsa qué pasó?|Mendoza|Ciudad
RT @AlejandroJardon: Tremendo #apagon en #Mendoza, toda Ciudad sin luz, #Edemsa qué pasó?|Mendoza|Ciudad
Que calor tan hp, y la malparida de @ElectricaribeSA nos tiene sin luz. Ninguna ciudad que quiera ser competitiva,… https://t.co/SCcrDtO0j0||
RT @erikbal: Que calor tan hp, y la malparida de @ElectricaribeSA nos tiene sin luz. Ninguna ciudad que quiera ser competitiva, puede tener…||
Segundo apagon en el centro de la ciudad de Armenia en la mañana de hoy, una cortesia muy especial de la Empresa de… https://t.co/NqpxFpPzhP|Armenia|ciudad
@ElectricaribeSA sin energía en ciudad jardín, al parecer un transformador de la energía explotó. Solución?|ciudad jardín|barrio
@jsebapereira @cged_sos Un camión chocó 3 postes y dejó gran parte de la ciudad sin electricidad. Ahora ?????trabajando.||
#Barranquilla, esa ciudad donde en un mismo día media ciudad está sin luz y la otra media sin agua. Y eso que es L… https://t.co/m6OmAyZUaW|Barranquilla|ciudad
@ElectricaribeSA El sector de Ciudad Caribe lleva todo el día sin luz, ¿por qué no han solucionado el problema?|Ciudad Caribe|barrio
RT @Efrain_HS: Llueve a esta hora en la ciudad de Barranquilla y en los municipios del departamento del Atlántico. Varios sectores sin luz…|Barranquilla|ciudad
@ServiciosEmcali apagón en Ciudad Jardín... Y esta vez ni llueve ni truena, simplemente se fue|Ciudad Jardín|barrio
Un acto de sabotaje a la consulta el hecho de que Electricaribe tenga sin luz varios sectores de la ciudad de Barranquilla y Soledad|Barranquilla y Soledad|ciudad
@CodensaEnergia señores otra vez el sector de Galicia- Ciudad bolivar en Bogotá está sin luz!! Cada 8 días nos la q… https://t.co/hsTadocjAZ|Galicia- Ciudad bolivar|barrio
RT @_Ac24_: Un acto de sabotaje a la consulta el hecho de que Electricaribe tenga sin luz varios sectores de la ciudad de Barranquilla y So…|Barranquilla|ciudad
@EMCALIoficial @ServiciosEmcali Buenas noches, de nuevo estamos sin energía en Ciudad Jardín. Ya es recurrente esto… https://t.co/kRgnJW6QPH|Ciudad Jardín|barrio
Varios sectores de la ciudad de Cúcuta sin energía @CENSGrupoEPM ?|Cúcuta|ciudad
RT @Esmerojaso: Varios sectores de la ciudad de Cúcuta sin energía @CENSGrupoEPM ?|Cúcuta|ciudad
@CucutaOnline @CENSGrupoEPM El Contento y el centro de la ciudad está sin luz||
Nuevamente @CodensaEnergia con corte energía en ciudad verde y nadie da explicaciones, en el 155 tampoco dan respue… https://t.co/qmZjcNVwY7|ciudad verde|Barrio
@CENSGrupoEPM : Buenas tardes, sector de Prados del Este en la ciudad de Cúcuta, estamos sin energía desde las 02:0… https://t.co/dfWtvkxJCh|Prados|barrio
@laopinioncucuta Como es posible que con 2 termoelectricas nos quedemos sin energia en la ciudad @CENSGrupoEPM no a… https://t.co/iTlW1P7qpf||
#Barranquilla, esa ciudad donde en un mismo d?a media ciudad est? sin luz y la otra media sin agua. Y eso que es L& https://t.co/m6OmAyZUaW|Barranquilla|ciudad
@ElectricaribeSA El sector de Ciudad Caribe lleva todo el d?a sin luz, ?por qu? no han solucionado el problema?|Ciudad Caribe|barrio
@jsebapereira @cged_sos Un cami?n choc? 3 postes y dej? gran parte de la ciudad sin electricidad. Ahora ?????trabajando.||
@CodensaEnergia que pasa con ese servicio para ciudad verde más de 20 horas sin luz|ciudad verde|barrio
.@EPMestamosahi El municipio de Granada se encuentra sin energía eléctrica desde las 3: 00 pm|Granada|municipio
@JuanManSantos usted no le pone orden a @ElectricaribeSA el municipio de dibulla se queda sin energía por cualquier razón a cualquier hora.|dibulla|municipio
@ESSAGrupoEPM @BluBucaramanga @sicsuper una ves más el municipio del Socorro sin energía|Socorro|municipio
@ESSAGrupoEPM @BluBucaramanga @sicsuper el municipio del Socorro sin energía eléctrica nuevamente|Socorro|municipio
@ESSAGrupoEPM @Superservicios nuevamente sin energía eléctrica en el municipio del socorro santander desde las 3 p… https://t.co/1qI4IPyXFX|socorro|municipio
Sin luz en la california norte sur Municipio Sucre, otro logro de la robolucion @Caracas_Noreste @paloverde_lomas… https://t.co/vf86nx8j0z|Sucre|Municipio
Sin luz varias zonas del municipio Sucre la california @GOBERNAITOR @ColasNoresteCCS @MunicipioSufre https://t.co/RBJVHGjvrI|Sucre|municipio
La california norte y sur Municipio Sucre sin luz otro logro de la Robolucion y el ciudadano común ve esta situació… https://t.co/eWXYyeYJR3|Sucre|Municipio
RT @ogbeatelara: Sin luz en la california norte sur Municipio Sucre, otro logro de la robolucion @Caracas_Noreste @paloverde_lomas @Alo_Ciu…|Sucre|Municipio
Municipio Sucre la california norte sur sin luz desde anoche otro logro de la robolucion https://t.co/m3LQyyeZS0|Sucre|Municipio
Por trabajos de mantenimiento, 5 municipios sin energía en Córdoba https://t.co/j49IV6aVRw @ElectricaribeSA @NadiaNajerar|Córdoba|departamento
Señores @CodensaEnergia llevamos sin luz desde ayer en la tarde, 6:00 p.m. En la finca del municipio de Tenjo, Vere… https://t.co/u9wfkxy5hf|Tenjo|municipio
@CodensaEnergia me pueden informar cuál es el daño que tiene sin luz al municipio de Subachoque. Se les ha vuelto c… https://t.co/fkFtSDVMXg|Subachoque|municipio
RT @dariobeltran5: No se ven las cuadrillas de @ElectricaribeSA verificando daños redes eléctrica municipio @SabanalargaCol sin energía elé…|Sabanalarga|municipio
3 horas sin luz en el municipio de manatí departamento del Atlántico #colombia pero #electricaribe no hace nada.|manatí|municipio
@CodensaEnergia Ojalá solucionen pronto ya que en el municipio hay varias veredas sin luz desde hace días||
@CodensaEnergia tiene a Sopó y municipios aledaños sin luz desde las 2pm. Al llamar no dan respuesta alguna. ¿Hasta qué hora?|Sopó|pueblo
RT @frank_javier16: 3 horas sin luz en el municipio de manatí departamento del Atlántico #colombia pero #electricaribe no hace nada.|manatí|municipio
@ElectricaribeSA tiene sin luz casi todo el municipio de Soledad hoy consulta anticorrupción. ¿Saboteo? @pierrealee… https://t.co/LKsPLjUlip|Soledad|municipio
RT @FABI3028: @ElectricaribeSA tiene sin luz casi todo el municipio de Soledad hoy consulta anticorrupción. ¿Saboteo? @pierrealee @ClaudiaL…|Soledad|municipio
RT @JSRinzler: Señores @CodensaEnergia hay problemas con el fluido eléctrico en el municipio de Madrid? Casi todo el municipio sin luz. Nos…|Madrid|municipio
@CodensaEnergia me pueden informar cu?l es el da?o que tiene sin luz al municipio de Subachoque. Se les ha vuelto c& https://t.co/fkFtSDVMXg|Subachoque|municipio
@CodensaEnergia Ojal? solucionen pronto ya que en el municipio hay varias veredas sin luz desde hace d?as||
RT @dariobeltran5: No se ven las cuadrillas de @ElectricaribeSA verificando da?os redes el?ctrica municipio @SabanalargaCol sin energ?a el?&|Sabanalarga|municipio
Se?ores @CodensaEnergia llevamos sin luz desde ayer en la tarde, 6:00 p.m. En la finca del municipio de Tenjo, Vere& https://t.co/u9wfkxy5hf|Tenjo|municipio
RT @romicali14: Todos los pueblos cercanos a Rosario otra vez sin luz antes del partido!!!! Pero qué bien EPE, gracias por tanto! ???|Rosario|pueblos
RT @Virandres: En la tierra de EPM y grandes hidroeléctricas, gobernada por "un visionario", hay un pueblo que vive a oscuras, sin energía.…|gobernada|pueblo
También se roban los cables varios pueblos de cba ruta 158 sin luz hasta el mediodía o sea nadie puede trabajar hoy https://t.co/7WMepMhnXe||
@CodensaEnergia Rico el pueblo sin luz y ustedes no avisan sobre dicha suspensión, eso se llama vulneración a los d… https://t.co/lMWcJ8PIlv|Rico|pueblo
@CodensaEnergia Como está lloviendo, la disculpa es que no alcanzamos y dejemos a este pueblo pendejo sin luz por más horas. Rico|Rico|pueblo
@CodensaEnergia tiene a Sopó y municipios aledaños sin luz desde las 2pm. Al llamar no dan respuesta alguna. ¿Hasta qué hora?|Sopó|pueblo
Señores @ElectricaribeSA por favor consideración con el pueblo sucreño... Hasta que horas sin luz!!! Ni que fuera un servicio gratuito...|sucreño|pueblo
RT @Helianeth01: Señores @ElectricaribeSA por favor consideración con el pueblo sucreño... Hasta que horas sin luz!!! Ni que fuera un servi…|sucreño|pueblo
@CodensaEnergia Como est? lloviendo, la disculpa es que no alcanzamos y dejemos a este pueblo pendejo sin luz por m?s horas. Rico|Rico|pueblo
@CodensaEnergia Rico el pueblo sin luz y ustedes no avisan sobre dicha suspensi?n, eso se llama vulneraci?n a los d& https://t.co/lMWcJ8PIlv|Rico|pueblo
@CodensaEnergia sin energía en Vereda CHINQUIRA, Villapinzon a la hora del partido ?? Sean serios|CHINQUIRA, Villapinzon|Vereda
ATENCIÓN... @ElectricaribeSA Habitantes de la vereda Marcella de Tierralta llevan 22 días sin luz. Dicen que han re… https://t.co/iWi2IJsev6|Marcella de Tierralta|vereda
RT @CHICACERETE: ATENCIÓN... @ElectricaribeSA Habitantes de la vereda Marcella de Tierralta llevan 22 días sin luz. Dicen que han reportado…|Marcella de Tierralta|vereda
@CodensaEnergia Buen día. Les solicitó me informen porque están sin Energia desde ayer las veredas de Mortiñal, Sus… https://t.co/XJIfymaENH|Mortiñal|veredas
@CodensaEnergia Reporte de De ayer sin energía en Santiamén Vereda El Líbano vía Calera.|El Líbano|Vereda
Protestan en la vereda Corpa Arriba, Moñitos por más de 30 días sin energía https://t.co/f8v61IyPFp @ElectricaribeSA|Corpa Arriba|vereda
@CodensaEnergia sin luz en vereda pauso municipio gama mas de dos horas sin servicio @GuavioNoticias @JorgeEmilioRey @alcaldia_gama08 y|pauso|vereda
RT @edwinbp83: @CodensaEnergia sin luz en vereda pauso municipio gama mas de dos horas sin servicio @GuavioNoticias @JorgeEmilioRey @alcald…|pauso|vereda
@CodensaEnergia vereda el hato vía @LaCaleraOficial sin energía las 7 zonas, no permiten sus teléfonos reportar el daño, ayuda !|el hato|vereda
@CodensaEnergia llevamos 4 horas sin luz en las veredas aledañas a La Calera, que está pasando?|Calera|municipio
@CodensaEnergia hasta que horas nos van a dejar sin luz en las veredas aledañas a La Calera?|La Calera|municipio
@CodensaEnergia Cuenta #0948722-3 km 7 via La Calera Vereda El Hato, Sector alto de las Mercedes, casa 2. Sin luz… https://t.co/Ds9LMAcE1f|El Hato|Vereda
@CodensaEnergia Cuenta #0948722-3 km 7 via La Calera Vereda El Hato, Sector alto de las Mercedes. Sin luz x 24 horas. Hasta cuando?|El Hato|Vereda
@CodensaEnergia buenas noches. Otra vez parte de la vereda pajonales sin luz. Número de cuenta 0847051-2|pajonales|vereda
@CodensaEnergia petición, llevamos cinco dias sin energía eléctrica en la vereda san Antonio bajo, municipio el cal… https://t.co/NtIXLavG0V|san Antonio bajo|vereda
@heledena @CodensaEnergia En La Vereda Farilejonal ( La Calera ) vamos para 60 Horas sin Luz a los Srs de Codensa… https://t.co/ekt9vw9oLb|Farilejonal|Vereda
@CodensaEnergia nuevamente informo vereda Yayata sin luz @Superservicios que se ha hecho?|Yayata|vereda
ESTO ES ABSURDO!! @CodensaEnergia en la vereda el hato, la calera estamos sin luz desde las 8am. No pasa nada. No s… https://t.co/J2a9vmApMO|el hato|vereda
RT @ViejasLectoras: ESTO ES ABSURDO!! @CodensaEnergia en la vereda el hato, la calera estamos sin luz desde las 8am. No pasa nada. No se pu…|el hato|vereda
@CodensaEnergia son las 8:20 Pm seguimos sin Luz en la Vereda Frailejonal del Municipio de La Calera. que pasa con… https://t.co/2lcBrGwyEv|Frailejonal|Vereda
RT @JOSEA1965: @CodensaEnergia son las 8:20 Pm seguimos sin Luz en la Vereda Frailejonal del Municipio de La Calera. que pasa con Codensa,…|Frailejona|Vereda
@CodensaEnergia vereda pajonales sin luz número de cta 0847051_2|pajonales|vereda
@CodensaEnergia # de ordenes 2046 9371 y CD 0515 3484. Varios sectores de vereda siguen sin luz ( frailejonal). No… https://t.co/poDea7VkQu|frailejonal|vereda
@CodensaEnergia De nuevo sin servicio de energía en la vereda el Hato, Choachí. Esta vez dos días sin luz. Así comp… https://t.co/6vzCWIURsx|el Hato|vereda
@Electrohuila Sin energía desde mediodía de hoy Vereda El Triunfo Corregimiento del Caguán Neiva , empresa no infor… https://t.co/m899pyZVSt|El Triunfo|Vereda
RT @LuisaCamachoV: @CodensaEnergia # de ordenes 2046 9371 y CD 0515 3484. Varios sectores de vereda siguen sin luz ( frailejonal). No hay c…|frailejonal|vereda
#emergencia #sanonofre vereda el pueblito sin luz cerraron vía Tolú-Cartagena #767 @PoliciaColombia @TransitoPolicia|el pueblito|vereda
@emsa_esp Otra vez la Vereda El Cairo sin luz. Nos confirman por favor qué pasa? Y en cuánto tiempo la ponen? Graci… https://t.co/zYp8pJd5GW|El Cairo|Vereda
@Electrohuila Nuevamente sin energía eléctrica Vereda El Triunfo Corregimiento del Caguán Municipio de Neiva Huila… https://t.co/qEQqYYIwu3|El Triunfo|Vereda
@CodensaEnergia son las 8:20 Pm seguimos sin Luz en la Vereda Frailejonal del Municipio de La Calera. que pasa con& https://t.co/2lcBrGwyEv|Frailejonal|Vereda
@CodensaEnergia # de ordenes 2046 9371 y CD 0515 3484. Varios sectores de vereda siguen sin luz ( frailejonal). No& https://t.co/poDea7VkQu|frailejonal|vereda
@CodensaEnergia buenas noches. Otra vez parte de la vereda pajonales sin luz. N?mero de cuenta 0847051-2|pajonales|vereda
@CodensaEnergia Cuenta #0948722-3 km 7 via La Calera Vereda El Hato, Sector alto de las Mercedes, casa 2. Sin luz& https://t.co/Ds9LMAcE1f|El Hato|Vereda
@CodensaEnergia De nuevo sin servicio de energ?a en la vereda el Hato, Choach?. Esta vez dos d?as sin luz. As? comp& https://t.co/6vzCWIURsx|el Hato|vereda
@CodensaEnergia petici?n, llevamos cinco dias sin energ?a el?ctrica en la vereda san Antonio bajo, municipio el cal& https://t.co/NtIXLavG0V|san Antonio bajo|vereda
@CodensaEnergia vereda el hato v?a @LaCaleraOficial sin energ?a las 7 zonas, no permiten sus tel?fonos reportar el da?o, ayuda !|el hato |vereda
@CodensaEnergia vereda pajonales sin luz n?mero de cta 0847051_2|pajonales|vereda
@Electrohuila Sin energ?a desde mediod?a de hoy Vereda El Triunfo Corregimiento del Cagu?n Neiva , empresa no infor& https://t.co/m899pyZVSt|El Triunfo|Vereda
@heledena @CodensaEnergia En La Vereda Farilejonal ( La Calera ) vamos para 60 Horas sin Luz a los Srs de Codensa& https://t.co/ekt9vw9oLb|Farilejonal|Vereda
ESTO ES ABSURDO!! @CodensaEnergia en la vereda el hato, la calera estamos sin luz desde las 8am. No pasa nada. No s& https://t.co/J2a9vmApMO|el hato|vereda
Protestan en la vereda Corpa Arriba, Mo?itos por m?s de 30 d?as sin energ?a https://t.co/f8v61IyPFp @ElectricaribeSA|Corpa Arriba|vereda
RT @edwinbp83: @CodensaEnergia sin luz en vereda pauso municipio gama mas de dos horas sin servicio @GuavioNoticias @JorgeEmilioRey @alcald&|pauso|vereda
RT @JOSEA1965: @CodensaEnergia son las 8:20 Pm seguimos sin Luz en la Vereda Frailejonal del Municipio de La Calera. que pasa con Codensa,&|Frailejonal|Vereda
RT @LuisaCamachoV: @CodensaEnergia # de ordenes 2046 9371 y CD 0515 3484. Varios sectores de vereda siguen sin luz ( frailejonal). No hay c&|frailejonal|vereda
RT @ViejasLectoras: ESTO ES ABSURDO!! @CodensaEnergia en la vereda el hato, la calera estamos sin luz desde las 8am. No pasa nada. No se pu&|el hato|vereda
San Mateo. Vereda San José. EBSA nos dejó sin luz. Pésimo servicio. Que rogadera... !!! @EBSApuraenergia|San José|Vereda
RT @Raimundoverde: San Mateo. Vereda San José. EBSA nos dejó sin luz. Pésimo servicio. Que rogadera... !!! @EBSApuraenergia|San José|Vereda
