texto|lugar|tipo_lugar
Barrio las mercedes #Barranquilla Sin luz ¿por que? 😠 @ElectricaribeSA @elheraldoco @AtlanticoEmi @jorgecura1070 @HENRYFOREROJ|las mercedes |Barrio
¡Ojo! Por lo menos unos 30 barrios se quedarán sin luz hoy en Bogotá. https://t.co/Pvpv1N8bUT https://t.co/9selGMIT6K|Bogotá|
La empresa #Edenor deja sin luz al barrio Alem de #casanova #LaMatanza ..barrio caliente si los hay....su unico fin… https://t.co/eDHc04DvCE|Alem|barrio
"@ElectricaribeSA Un camión de sus contratistas movió un poco de cables y tiene a medio barrio sin luz, hicieron la… https://t.co/ByaJa1XqMm"||
@ElectricaribeSA  tiene sin luz electrica barios barrios de @monterialcaldia  desdes las 9:30 pm @PGN_COL… https://t.co/FRmKhPuvPK|@monterialcaldia|
"Barranquilla, primer aguacero normal, nada tormentoso y Nogales y barrios cercanos sin energía desde hace 6 horas."|Nogales|barrios
"RT @osclopezlobo: Barranquilla, primer aguacero normal, nada tormentoso y Nogales y barrios cercanos sin energía desde hace 6 horas."|Nogales|barrios
@EnterateCali @EMCALIoficial Cuales barrios estarán sin electricidad?||
@EMCALIoficial barrio el refugio sin energia desde hace aproxadamente 3 horas|el refugio|barrio
@ElectricaribeSA buen día solicitamos apoyo barrio mareygua sin energía reporte 5138435|mareygua|barrio
Electricaribe anuncia que quitará la luz en 3 barrios pero que por seguridad dejara a la ciudad sin luz||
@ElectricaribeSA Mas de 12 horas sin energía eléctrica en parte del barrio las gaviotas de soledad Atlántico… https://t.co/gVf56V5Ijb|las gaviotas de soledad |barrio
@CodensaEnergia hola vivimos en El Barrio villa Del Río y hace casi una hora nos quedamos sin luz al parecer por es… https://t.co/mdNUPSN8fD|villa Del Río|Barrio
@CodensaEnergia buenas noches llevamos mas de 2 horas sin energia en qie momento lo van a reestablecer barrio moralba san cristobal sur|moralba san cristobal |barrio
"@CodensaEnergia sector barrio calvo sur modelos ir y nariño sur sin energía desde la 3;15 PM de hoy, cuando regresa electricidad?"|calvo sur|barrio
@CodensaEnergia nos encontramos sin luz barrio Villa del Río|Villa del Río|barrio
@CodensaEnergia de nuevo el servicio de energía en el.barrio Villa del río se interrumpe!! Hace tres horas estamos sin energía!!|Villa del río|barrio
@CodensaEnergia Señores de codensa llevamos sin luz mas de 6 horas en el barrio pijaos sur oriente de bogotá alguna respuesta o solución???|pijaos|barrio
@ricardoar324 @CodensaEnergia Buenas noches  La falla se volvió  a presentar. En estos momentos  el barrio se encuentra sin luz||
Señores @ElectricaribeSA el barrio Edmundo  López de montería  sin luz todo el día|Edmundo  López|barrio
@Bogota @EnriquePenalosa Excelente me parece muy bien! Pero estab descuidando los barrios hay barrios sin luz. Los… https://t.co/RtA5GJ0ryZ||
"@Santialarconu @CodensaEnergia Pero @Santialarconu en que barrio vives, todos los días sin luz, no hay derecho"||
"@CodensaEnergia Buenas tardes, desde anoche hemos estado sin luz por los fuertes vientos en el barrio de Villa Javi… https://t.co/3PDyQCMZqY"|Villa Javi|barrio
@ElectricaribeSA sres electricaribe estamos sin luz en un sector del barrio la chinita desde las 2 pm. Se llamo en… https://t.co/mT7feseXl5|la chinita|barrio
Varios barrios del circuito 4 de Maicao estarán sin luz este domingo por mantenimientos de Electricaribe  https://t.co/j6WIJWOqjq|circuito 4 de Maicao|barrios
RT @causaguajira1: Varios barrios del circuito 4 de Maicao estarán sin luz este domingo por mantenimientos de Electricaribe  https://t.co/j…|circuito 4 de Maicao|barrios
@CodensaEnergia sin luz hace más de dos horas en barrio rincón del chico! Qué pasa?|rincón del chico|barrio
"@Linea115_Emsa Parte de la comuna 5, Barrios primavera y zonas aledañas está sin luz desde las 7 p.m...Pueden decir… https://t.co/usJ7hfCW5z"|primavera|Barrios
"RT @orlandor_1966: @Linea115_Emsa Parte de la comuna 5, Barrios primavera y zonas aledañas está sin luz desde las 7 p.m...Pueden decirnos s…"|primavera|Barrios
"@emsa_esp corte de energia en el barrio hacaritama, se demorara el arreglo?"|hacaritama|barrio
"Cada vez que llueve en Barranquilla,uno no sabe si es para bien o para mal, mínimo ya hay barrios sin luz,  #FelizMiercoles 🌨️🌩️☔️"|Barranquilla|
Señores de @ElectricaribeSA desde ayer a las 9pm el barrio adelita de char/la playa se encuentra sin luz! Cuánto má… https://t.co/t4xRa7ArsQ|adelita de char|barrio
@caamano_william @ElectricaribeSA El barrio las Cumbre también están sin luz desde esta mañana.|Cumbre|barrio
"@CodensaEnergia señores, medio barrio floridablanca en eñ occidente de Bogotá está sin luz, que se sabe de eso! Gracias"|floridablanca|barrio
"Señores @EMCALIoficial hay barrios como el guabal, san judas, la independencia, villa del sur sin energia ahora con… https://t.co/N2MTyn7hXW"|el guabal|barrios
@ElectricaribeSA Barrio los trupillos sin luz 🙄🙄🙄|los trupillos|Barrio
@CodensaEnergia en el barrio santa Isabel llevamos toda la mañana sin luz. En el fonoservicio no sirve la opción de… https://t.co/EaTUJTvg7s|santa Isabel|barrio
@ElectricaribeSA hace más de 2 horas estamos sin luz en barrio paraíso calle 81 con 64|barrio paraíso|barrio
"@ElectricaribeSA porque no avisan que van a quitar la luz, todo el barrio sin energía y uno llama a la línea de ate… https://t.co/KPMPXUBkD1"||
@ElectricaribeSA @ElectricaribeSA  porque nos dejan sin luz en el barrio el manantial toda la noche que pasa estamos cansados|el manantial|barrio
@EBSApuraenergia a qué se debe el corte de energía en el barrio Cooservicios de Tunja?|Cooservicios|barrio
"@ElectricaribeSA en el barrio las palmas se cayó un cable eléctrico, la cuadra está sin luz y el cable está en la m… https://t.co/B8hsaWouMR"|las palmas|barrio
"Señores @CodensaEnergia dos barrios están sin luz, por qué se dañó un contenedor hace un día, para cuando el arregl… https://t.co/kFYhBNgAEa"||
Njd 4 horas sin luz en medio barrio las américas y según los técnicos de @ElectricaribeSA  no vendrá la luz en 3 dí… https://t.co/pbBvudUK7t|américas|barrio
Que extraño precisamente rsta madrugada en Barranquilla y Soledad se quedaron sin energía los barrios de estratos b… https://t.co/1p88avZMFE|Barranquilla|
"RT @GeorgeHdz13: Que extraño precisamente rsta madrugada en Barranquilla y Soledad se quedaron sin energía los barrios de estratos bajos, s…"|Barranquilla|
@EMCALIoficial saben algo del corte de energia en el barrio el jardín... Llevamos dos horas|el jardín|barrio
@EMCALIoficial buena noche. Barrio compartír sectores sin energía hace 4 horas. Corto circuito en trafo sobre la cr… https://t.co/g7wRYlLHvW|compartír|Barrio
"@ElectricaribeSA 6 horas sin luz en Cartagena barrio manga, hasta cuando"|manga|barrio
@ElectricaribeSA 6 horas sin luz en Cartagena barrio manga hasta cuando ???|manga|barrio
Tan rico que es uno estar mirando la novela y que llegue un carrito de @CodensaEnergia y deje al barrio sin luz jaj… https://t.co/vq9rGu9nZy||
Alguien sabe la razón del corte de energía en el barrio lleras de #cúcuta ? Ya que se llama al 115 y @CENSGrupoEPM dicen que no saben 🙄🙄🙄🙄|lleras|barrio
Conozca los barrios que están sin luz este domingo en Barranquilla https://t.co/OKn9QuH2RK vía @lasnoticias.co|Barranquilla|
@CENSGrupoEPM  barrio blanco sin energia @laopinioncucuta @JulliethCano|blanco|barrio
@Bogota @EnriquePenalosa Excelente me parece muy bien! Pero estab descuidando los barrios hay barrios sin luz. Los& https://t.co/RtA5GJ0ryZ|Bogota|
"@CodensaEnergia Buenas tardes, desde anoche hemos estado sin luz por los fuertes vientos en el barrio de Villa Javi& https://t.co/3PDyQCMZqY"|Villa Javi|barrio
@CodensaEnergia de nuevo el servicio de energ�a en el.barrio Villa del r�o se interrumpe!! Hace tres horas estamos sin energ�a!!|Villa del r�o|barrio
@CodensaEnergia hola vivimos en El Barrio villa Del R�o y hace casi una hora nos quedamos sin luz al parecer por es& https://t.co/mdNUPSN8fD|villa Del R�o|Barrio
@CodensaEnergia nos encontramos sin luz barrio Villa del R�o|Villa del R�o|barrio
"@CodensaEnergia sector barrio calvo sur modelos ir y nari�o sur sin energ�a desde la 3;15 PM de hoy, cuando regresa electricidad?"|calvo sur|barrio
@CodensaEnergia Se�ores de codensa llevamos sin luz mas de 6 horas en el barrio pijaos sur oriente de bogot� alguna respuesta o soluci�n???|pijaos|barrio
"@ElectricaribeSA Barrios cercanos a C�rcel de Monter�a sin luz, hagan algo.. @Superservicios @CHICACERETE"|Monter�a|Barrios
@ElectricaribeSA buen d�a solicitamos apoyo barrio mareygua sin energ�a reporte 5138435|mareygua|barrio
@ElectricaribeSA Mas de 12 horas sin energ�a el�ctrica en parte del barrio las gaviotas de soledad Atl�ntico& https://t.co/gVf56V5Ijb|las gaviotas de soledad |barrio
@ElectricaribeSA sres electricaribe estamos sin luz en un sector del barrio la chinita desde las 2 pm. Se llamo en& https://t.co/mT7feseXl5|la chinita|barrio
"@Linea115_Emsa Parte de la comuna 5, Barrios primavera y zonas aleda�as est� sin luz desde las 7 p.m...Pueden decir& https://t.co/usJ7hfCW5z"|primavera|Barrios
@ricardoar324 @CodensaEnergia Buenas noches  La falla se volvi�  a presentar. En estos momentos  el barrio se encuentra sin luz||
"@Santialarconu @CodensaEnergia Pero @Santialarconu en que barrio vives, todos los d�as sin luz, no hay derecho"||
"Barranquilla, primer aguacero normal, nada tormentoso y Nogales y barrios cercanos sin energ�a desde hace 6 horas."|Nogales|barrios
Electricaribe anuncia que quitar� la luz en 3 barrios pero que por seguridad dejara a la ciudad sin luz||
RT @causaguajira1: Varios barrios del circuito 4 de Maicao estar�n sin luz este domingo por mantenimientos de Electricaribe� https://t.co/j&|circuito 4 de Maicao|barrios
"RT @orlandor_1966: @Linea115_Emsa Parte de la comuna 5, Barrios primavera y zonas aleda�as est� sin luz desde las 7 p.m...Pueden decirnos s&"|primavera|Barrios
"RT @osclopezlobo: Barranquilla, primer aguacero normal, nada tormentoso y Nogales y barrios cercanos sin energ�a desde hace 6 horas."|cercanos sin |barrios
Varios barrios del circuito 4 de Maicao estar�n sin luz este domingo por mantenimientos de Electricaribe� https://t.co/j6WIJWOqjq|del circuito |barrios
